SiteID,SiteCode,RiverMile,RiverBank,SiteName,AlternateName,DepositType,EddySize,ExpansionRatio8k,ExpansionRatio45k,StageChange8to45k,PrimaryGDAWS,SecondaryGDAWS,SedimentBudgetReach,StageDisA,StageDisB,StageDisC
1,M06R,-6.6,R,-6-mile,,R,,,,3,9380000,9380000,0_Glen,926.682,0.0001298,-7.753e-10
2,003L,2.5,L,Above Cathedral Wash,Above Cathedral Wash,R,7610,1.5,1.3,3.4,9380000,9380000,1_UMC,919.534,0.000173,-1.48e-09
3,004L,3.4,L,3.4 Mile,,,,,,,9380000,9380000,1_UMC,,,
4,008L,8.1,L,Jackass Creek,,S,,1.6,1.5,3,9380000,9380000,1_UMC,912.608,0.0001114,-4.247e-10
5,009L,8.9,L,9 Mile,8.5 Mile Camp,R,12270,1.8,14,4.2,9380000,9380000,1_UMC,909.445,0.0002171,-1.932e-09
6,016L,16.6,L,Hot Na Na Wash,,S,8160,2.1,1.2,3.1,9380000,9380000,1_UMC,894.595,0.0001476,-1.174e-09
7,022R,22,R,22 Mile,,R,7160,1.5,1.5,5.8,9383050,9380000,1_UMC,878.466,0.0002906,-2.456e-09
8,024L,23.6,L,Lone Cedar,Harry McDonald,U,,1.3,1.4,5,9383050,9380000,1_UMC,873.927,0.0002763,-2.611e-09
9,029L,29.5,L,Shinumo Wash,Silver Grotto,U,,1.2,1,4.8,9383050,9380000,1_UMC,856.983,0.0001575,-4.313e-10
10,030R,30.7,R,Sand Pile,30 Mile,R,8520,1.7,1.6,5,9383050,9380000,1_UMC,853.671,0.0002405,-1.886e-09
11,032R,31.9,R,South Canyon,,U,11620,2.8,1.5,2.9,9383050,9380000,2_LMC,853.038,0.0001395,-1.057e-09
12,033L,33.3,L,Redwall Cavern,,R,,,,4.7,9383050,9380000,2_LMC,849.147,0.0001855,-9.76e-10
13,035L,35.1,L,Nautiloid,,"S,R",21390,2.5,1.4,5,9383050,9380000,2_LMC,846.385,0.0002521,-2.08e-09
14,041R,41.4,R,Buck Farm,,"S,R",42050,2.9,1.7,4.1,9383050,9380000,2_LMC,839.641,0.000169,-9.291e-10
