OBJECTID,Site,wsl8k,wsl10k,wsl12k,wsl16k,wsl20k,wsl25k,wsl41k
1,M006R,927.669999999999960,927.899999999999980,928.130000000000000,928.559999999999950,928.970000000000030,929.440000000000050,930.700000000000050
2,003L,920.820000000000050,921.120000000000000,921.399999999999980,921.919999999999960,922.399999999999980,922.929999999999950,924.139999999999990
3,008L,913.470000000000030,913.679999999999950,913.880000000000000,914.279999999999970,914.669999999999960,915.130000000000000,916.460000000000040
4,009L,911.059999999999950,911.419999999999960,911.769999999999980,912.419999999999960,913.009999999999990,913.669999999999960,915.100000000000020
5,016L,895.700000000000050,895.950000000000050,896.200000000000050,896.659999999999970,897.080000000000040,897.549999999999950,898.669999999999960
6,022R,880.630000000000000,881.130000000000000,881.600000000000020,882.490000000000010,883.299999999999950,884.200000000000050,886.250000000000000
7,024L,875.970000000000030,876.429999999999950,876.870000000000000,877.679999999999950,878.409999999999970,879.200000000000050,880.870000000000000
8,029L,858.220000000000030,858.509999999999990,858.809999999999950,859.389999999999990,859.960000000000040,860.649999999999980,862.720000000000030
9,030R,855.470000000000030,855.889999999999990,856.289999999999960,857.039999999999960,857.730000000000020,858.500000000000000,860.360000000000010
10,032R,854.090000000000030,854.330000000000040,854.559999999999950,855.000000000000000,855.409999999999970,855.860000000000010,856.980000000000020
11,033L,850.570000000000050,850.899999999999980,851.230000000000020,851.870000000000000,852.470000000000030,853.169999999999960,855.110000000000010
12,035L,848.269999999999980,848.700000000000050,849.110000000000010,849.889999999999990,850.600000000000020,851.389999999999990,853.220000000000030
13,041R,840.929999999999950,841.240000000000010,841.539999999999960,842.110000000000010,842.649999999999980,843.289999999999960,845.009999999999990
14,043L,839.820000000000050,840.159999999999970,840.500000000000000,841.130000000000000,841.710000000000040,842.370000000000000,843.970000000000030
15,044L,836.919999999999960,837.240000000000010,837.549999999999950,838.139999999999990,838.690000000000050,839.320000000000050,840.909999999999970
16,045L,836.289999999999960,836.570000000000050,836.860000000000010,837.399999999999980,837.909999999999970,838.509999999999990,840.149999999999980
17,047R,834.380000000000000,834.659999999999970,834.929999999999950,835.450000000000050,835.929999999999950,836.480000000000020,837.809999999999950
18,050R,830.500000000000000,830.809999999999950,831.120000000000000,831.690000000000050,832.220000000000030,832.830000000000040,834.320000000000050
19,051L,829.889999999999990,830.179999999999950,830.470000000000030,831.000000000000000,831.480000000000020,832.029999999999970,833.289999999999960
20,055R,820.250000000000000,820.460000000000040,820.659999999999970,821.039999999999960,821.389999999999990,821.779999999999970,822.700000000000050
21,056R,817.529999999999970,817.750000000000000,817.960000000000040,818.360000000000010,818.740000000000010,819.159999999999970,820.190000000000050
22,062R,801.139999999999990,801.440000000000050,801.730000000000020,802.279999999999970,802.799999999999950,803.389999999999990,804.940000000000050
23,063L,799.639999999999990,799.970000000000030,800.289999999999960,800.889999999999990,801.440000000000050,802.049999999999950,803.470000000000030
24,065R,796.730000000000020,796.950000000000050,797.159999999999970,797.570000000000050,797.960000000000040,798.389999999999990,799.500000000000000
25,068R,786.919999999999960,787.120000000000000,787.309999999999950,787.679999999999950,788.019999999999980,788.399999999999980,789.320000000000050
26,070R,780.799999999999950,781.009999999999990,781.220000000000030,781.610000000000010,781.960000000000040,782.360000000000010,783.289999999999960
27,081L,737.259999999999990,737.539999999999960,737.820000000000050,738.350000000000020,738.840000000000030,739.409999999999970,740.850000000000020
28,084R,725.899999999999980,726.230000000000020,726.549999999999950,727.169999999999960,727.750000000000000,728.429999999999950,730.240000000000010
29,087L,717.649999999999980,718.000000000000000,718.340000000000030,718.960000000000040,719.519999999999980,720.130000000000000,721.419999999999960
30,091R,700.779999999999970,701.100000000000020,701.409999999999970,702.000000000000000,702.549999999999950,703.190000000000050,704.840000000000030
31,093L,698.110000000000010,698.380000000000000,698.630000000000000,699.110000000000010,699.539999999999960,700.009999999999990,701.009999999999990
32,104R,659.769999999999980,660.090000000000030,660.399999999999980,660.980000000000020,661.509999999999990,662.110000000000010,663.559999999999950
33,119R,615.230000000000020,615.590000000000030,615.929999999999950,616.590000000000030,617.200000000000050,617.899999999999980,619.679999999999950
34,122R,609.509999999999990,609.860000000000010,610.200000000000050,610.840000000000030,611.419999999999960,612.070000000000050,613.580000000000040
35,123L,608.899999999999980,609.269999999999980,609.620000000000000,610.269999999999980,610.850000000000020,611.490000000000010,612.850000000000020
36,137L,563.980000000000020,564.320000000000050,564.649999999999980,565.279999999999970,565.860000000000010,566.519999999999980,568.169999999999960
37,139R,558.730000000000020,559.100000000000020,559.460000000000040,560.130000000000000,560.750000000000000,561.450000000000050,563.130000000000000
38,145L,541.620000000000000,542.019999999999980,542.399999999999980,543.130000000000000,543.809999999999950,544.580000000000040,546.480000000000020
39,166L,506.529999999999970,506.790000000000020,507.050000000000010,507.540000000000020,508.009999999999990,508.569999999999990,510.100000000000020
40,172L,498.509999999999990,498.810000000000000,499.089999999999970,499.639999999999990,500.160000000000030,500.750000000000000,502.319999999999990
41,183R,471.620000000000000,471.949999999999990,472.279999999999970,472.889999999999990,473.449999999999990,474.089999999999970,475.660000000000030
42,194L,448.149999999999980,448.459999999999980,448.759999999999990,449.319999999999990,449.850000000000020,450.440000000000000,451.889999999999990
43,202R,432.699999999999990,432.990000000000010,433.279999999999970,433.819999999999990,434.329999999999980,434.910000000000030,436.410000000000030
